"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.134897583E0,4.747341275E-1,3.044188023E-2,1.444230787E-2
4.156656583E0,3.381481767E-1,9.412409365E-2,-1.005175635E-1
4.178433583E0,1.312162876E-1,2.180631757E-1,-1.597486436E-1
4.200179583E0,1.123321727E-1,3.246372342E-1,2.442663768E-3
4.221938583E0,3.924972415E-1,3.290898800E-1,5.597993731E-2
4.243697583E0,6.349721551E-1,2.035094500E-1,-4.528435692E-2
4.265459583E0,5.355873704E-1,2.044647783E-1,-2.168370932E-1
4.287234583E0,2.145229727E-1,2.636528611E-1,-1.584499329E-1
4.308974583E0,1.154173091E-1,-3.802192584E-2,1.626625210E-1
4.330733583E0,1.501599401E-1,-1.625271589E-1,1.194535345E-1
4.352492583E0,2.751789987E-2,3.104506619E-2,-4.267064855E-2
4.374273583E0,-2.408916876E-2,-1.901529916E-2,-1.418195963E-1
4.396010583E0,1.071716249E-1,-1.254721284E-1,-1.092099696E-1
4.417770583E0,2.537868321E-1,-4.942675680E-2,-3.330960125E-2
4.439529583E0,2.402272969E-1,1.186920777E-1,-6.764705479E-2
4.461319583E0,1.507140249E-1,1.262175739E-1,-7.755320519E-2
4.483065583E0,1.547253132E-1,-1.493747830E-1,-3.260089830E-2
4.504836583E0,2.377859950E-1,-1.443148851E-1,-6.655646116E-2
4.526576583E0,3.035131097E-1,1.910831034E-1,-1.211108407E-3
4.548354583E0,3.032932878E-1,3.294821382E-1,-2.124019898E-2
4.570109583E0,-1.100685820E-1,2.943592668E-1,-1.018970385E-1
4.591872583E0,5.719459057E-2,-1.600506753E-1,-1.206398234E-1
4.613631583E0,1.812466830E-1,-1.845461428E-1,5.214847624E-2
4.635390583E0,6.150702015E-3,-6.850570906E-3,9.625124186E-2
