"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.612995875E0,-1.344650745E1,-2.399828339E1,3.754806519E1
3.634766875E0,-1.344670582E1,-2.397720337E1,3.756145477E1
3.656533875E0,-1.342163944E1,-2.402260208E1,3.754140854E1
3.678292875E0,-1.344453716E1,-2.395464325E1,3.757662582E1
3.700051875E0,-1.346567917E1,-2.388650894E1,3.761241150E1
3.721810875E0,-1.345327091E1,-2.391135216E1,3.760105515E1
3.743573875E0,-1.342592430E1,-2.396210861E1,3.757851410E1
3.765321875E0,-1.342314148E1,-2.395733261E1,3.758256149E1
3.787087875E0,-1.344406986E1,-2.388950539E1,3.761824036E1
3.808876875E0,-1.346458435E1,-2.382050705E1,3.765464020E1
3.830635875E0,-1.342098045E1,-2.390830612E1,3.761453629E1
3.852394875E0,-1.338604164E1,-2.397631264E1,3.758368683E1
3.874144875E0,-1.340814018E1,-2.391021347E1,3.761790466E1
3.895913875E0,-1.343084049E1,-2.384119034E1,3.765359879E1
3.917671875E0,-1.341098404E1,-2.388240433E1,3.763455582E1
3.939431875E0,-1.336777782E1,-2.395018768E1,3.760683823E1
3.961188875E0,-1.332311440E1,-2.403649712E1,3.756760406E1
3.982949875E0,-1.330272293E1,-2.407340813E1,3.755118561E1
4.004722875E0,-1.332390118E1,-2.400502968E1,3.758743286E1
4.026497875E0,-1.329047012E1,-2.408125114E1,3.755049896E1
4.048256875E0,-1.326718044E1,-2.410852814E1,3.754122543E1
4.070016875E0,-1.326543808E1,-2.409635162E1,3.754965973E1
4.091774875E0,-1.325770378E1,-2.409788132E1,3.755140686E1
4.113534875E0,-1.323467255E1,-2.413298225E1,3.753699493E1
4.135281875E0,-1.325732613E1,-2.406604767E1,3.757195282E1
4.157051875E0,-1.325889683E1,-2.404733276E1,3.758338165E1
4.178810875E0,-1.324925900E1,-2.406095314E1,3.757806396E1
4.200570875E0,-1.322570610E1,-2.411009407E1,3.755485916E1
4.222359875E0,-1.322418022E1,-2.409508514E1,3.756502151E1
4.244119875E0,-1.324738121E1,-2.402772903E1,3.759997940E1
4.265877875E0,-1.324696064E1,-2.402093506E1,3.760446930E1
4.287632875E0,-1.322831631E1,-2.405415535E1,3.758978653E1
4.309396875E0,-1.320937729E1,-2.409513855E1,3.757020187E1
4.331154875E0,-1.323220825E1,-2.402898216E1,3.760451508E1
4.352915875E0,-1.325206947E1,-2.396305466E1,3.763957977E1
4.374670875E0,-1.321219826E1,-2.403583145E1,3.760717773E1
4.396453875E0,-1.317882252E1,-2.410183716E1,3.757663345E1
4.418221875E0,-1.315510845E1,-2.415447807E1,3.755113602E1
4.439980875E0,-1.313181019E1,-2.420138931E1,3.752907944E1
4.461736875E0,-1.312464523E1,-2.420660782E1,3.752822113E1
4.483498875E0,-1.310631084E1,-2.423569679E1,3.751584625E1
4.505257875E0,-1.308468533E1,-2.425748634E1,3.750931168E1
4.527016875E0,-1.310749245E1,-2.419008446E1,3.754486084E1
4.548775875E0,-1.312768173E1,-2.412221718E1,3.758145905E1
4.570534875E0,-1.311707878E1,-2.413385010E1,3.757769012E1
4.592293875E0,-1.309719276E1,-2.416917229E1,3.756192398E1
4.614083875E0,-1.309757328E1,-2.415740013E1,3.756936264E1
4.635834875E0,-1.309779072E1,-2.413175774E1,3.758575821E1
4.657576875E0,-1.309240246E1,-2.412712479E1,3.759061432E1
4.679361875E0,-1.311455822E1,-2.406264496E1,3.762420273E1
4.701119875E0,-1.313217163E1,-2.401158142E1,3.765067291E1
4.722878875E0,-1.315352440E1,-2.394443703E1,3.768595886E1
4.744636875E0,-1.317580223E1,-2.387462997E1,3.772245407E1
4.766398875E0,-1.319129753E1,-2.382349205E1,3.774935913E1
4.788155875E0,-1.310884380E1,-2.398492432E1,3.767578125E1
4.809945875E0,-1.307374573E1,-2.406239319E1,3.763856888E1
4.831703875E0,-1.305841732E1,-2.408388138E1,3.763014221E1
4.853442875E0,-1.304032135E1,-2.410528946E1,3.762271118E1
4.875229875E0,-1.301186562E1,-2.416420555E1,3.759475708E1
4.896981875E0,-1.294492817E1,-2.429510689E1,3.753345108E1
4.918740875E0,-1.292461967E1,-2.432827759E1,3.751895905E1
4.940500875E0,-1.292364502E1,-2.430937576E1,3.753154755E1
4.962276875E0,-1.289817047E1,-2.435884094E1,3.750822830E1
4.984047875E0,-1.289128590E1,-2.436832809E1,3.750443268E1
5.005798875E0,-1.286244202E1,-2.441165543E1,3.748615646E1
5.027565875E0,-1.286338043E1,-2.438075066E1,3.750594330E1
5.049306875E0,-1.283998871E1,-2.441682243E1,3.749049377E1
5.071083875E0,-1.286432648E1,-2.434642029E1,3.752790833E1
5.092842875E0,-1.285326862E1,-2.435219383E1,3.752795410E1
5.114601875E0,-1.285045624E1,-2.433801842E1,3.753810883E1
5.136360875E0,-1.287364578E1,-2.426826096E1,3.757531357E1
5.158130875E0,-1.286935902E1,-2.425623322E1,3.758453751E1
5.179909875E0,-1.283360481E1,-2.431913567E1,3.755611038E1
5.201668875E0,-1.282348728E1,-2.432909966E1,3.755311203E1
5.223427875E0,-1.284465694E1,-2.426133347E1,3.758970642E1
5.245181875E0,-1.286682129E1,-2.419478989E1,3.762499237E1
5.266958875E0,-1.286181641E1,-2.419384575E1,3.762730789E1
5.288704875E0,-1.282089138E1,-2.427792358E1,3.758710480E1
5.310463875E0,-1.278405285E1,-2.433757210E1,3.756106567E1
5.332222875E0,-1.275364590E1,-2.439088058E1,3.753681564E1
5.354003875E0,-1.272062683E1,-2.445202637E1,3.750822830E1
5.375771875E0,-1.269955349E1,-2.448630905E1,3.749300385E1
5.397509875E0,-1.268935108E1,-2.449047470E1,3.749374008E1
5.419289875E0,-1.267807579E1,-2.450736046E1,3.748651123E1
5.441048875E0,-1.266701889E1,-2.452321243E1,3.747988510E1
5.462807875E0,-1.268673038E1,-2.445552063E1,3.751742935E1
5.484566875E0,-1.270651913E1,-2.438750076E1,3.755498886E1
5.506325875E0,-1.269921112E1,-2.439416504E1,3.755313110E1
5.528085875E0,-1.267970562E1,-2.441909599E1,3.754352188E1
5.549861875E0,-1.267942429E1,-2.440112495E1,3.755529785E1
5.571633875E0,-1.269645119E1,-2.434919930E1,3.758324051E1
5.593392875E0,-1.267051792E1,-2.439406776E1,3.756288528E1
5.615151875E0,-1.267092228E1,-2.437694550E1,3.757386780E1
5.636911875E0,-1.269785213E1,-2.429007912E1,3.762100220E1
5.658658875E0,-1.269416142E1,-2.428763390E1,3.762383270E1
5.680428875E0,-1.271657085E1,-2.421671295E1,3.766195297E1
5.702187875E0,-1.273245525E1,-2.416564941E1,3.768938065E1
5.723946875E0,-1.271691799E1,-2.418715477E1,3.768083191E1
5.745708875E0,-1.267337227E1,-2.427320671E1,3.764014053E1
5.767483875E0,-1.264726257E1,-2.432634735E1,3.761460876E1
5.789254875E0,-1.266903877E1,-2.425646591E1,3.765238953E1
5.811013875E0,-1.262544823E1,-2.433869553E1,3.761394501E1
5.832773875E0,-1.259794331E1,-2.439002037E1,3.758992004E1
5.854538875E0,-1.257130051E1,-2.443279076E1,3.757105637E1
5.876290875E0,-1.257805538E1,-2.439954948E1,3.759038925E1
5.898049875E0,-1.257717514E1,-2.438806534E1,3.759814072E1
5.919808875E0,-1.255812454E1,-2.442313766E1,3.758173370E1
5.941592875E0,-1.253911400E1,-2.445191002E1,3.756937408E1
5.963356875E0,-1.255508900E1,-2.440189743E1,3.759654236E1
5.985115875E0,-1.253675270E1,-2.443596268E1,3.758053589E1
6.006854875E0,-1.254032135E1,-2.441474533E1,3.759313583E1
6.028633875E0,-1.254907417E1,-2.438198090E1,3.761146927E1
6.050397875E0,-1.254714489E1,-2.436451149E1,3.762343597E1
6.072151875E0,-1.256834412E1,-2.429669952E1,3.766019058E1
6.093911875E0,-1.258900070E1,-2.423050308E1,3.769593048E1
6.115670875E0,-1.253772259E1,-2.431558990E1,3.765821075E1
6.137438875E0,-1.251323700E1,-2.435945892E1,3.763799286E1
6.159201875E0,-1.253337193E1,-2.429178047E1,3.767502213E1
6.180978875E0,-1.255652714E1,-2.422182274E1,3.771233368E1
6.202736875E0,-1.253780174E1,-2.425487709E1,3.769731903E1
6.224495875E0,-1.249719810E1,-2.432940292E1,3.766275787E1
6.246249875E0,-1.246302795E1,-2.438963509E1,3.763511658E1
6.268013875E0,-1.243199539E1,-2.443738747E1,3.761439896E1
6.289772875E0,-1.241068745E1,-2.447444153E1,3.759733582E1
6.311531875E0,-1.243249798E1,-2.440651321E1,3.763426590E1
6.333321875E0,-1.245521069E1,-2.433949661E1,3.767014313E1
6.355080875E0,-1.242407703E1,-2.439146614E1,3.764680862E1
6.376839875E0,-1.241489220E1,-2.440598869E1,3.764041901E1
6.398608875E0,-1.241873550E1,-2.438144875E1,3.765505219E1
6.420357875E0,-1.238673687E1,-2.443155289E1,3.763311005E1
6.442106875E0,-1.236503887E1,-2.447439194E1,3.761241150E1
6.463875875E0,-1.238447857E1,-2.440633583E1,3.765021515E1
6.485634875E0,-1.237590504E1,-2.441516685E1,3.764730835E1
6.507424875E0,-1.234785271E1,-2.445940781E1,3.762779617E1
6.529164875E0,-1.233329582E1,-2.447529602E1,3.762224197E1
6.550938875E0,-1.233385658E1,-2.446024704E1,3.763184357E1
6.572702875E0,-1.234946442E1,-2.440990257E1,3.765940475E1
6.594461875E0,-1.232652950E1,-2.445382500E1,3.763841248E1
6.616219875E0,-1.234850121E1,-2.438531113E1,3.767564774E1
6.637970875E0,-1.237628269E1,-2.429868317E1,3.772247696E1
6.659737875E0,-1.239750671E1,-2.423015594E1,3.775956345E1
6.681496875E0,-1.235253334E1,-2.432530975E1,3.771309280E1
6.703286875E0,-1.233385944E1,-2.436585617E1,3.769302750E1
6.725045875E0,-1.233570099E1,-2.434880447E1,3.770344162E1
6.746807875E0,-1.232764816E1,-2.435586357E1,3.770150757E1
6.768559875E0,-1.227054787E1,-2.447365570E1,3.764381409E1
6.790323875E0,-1.224422646E1,-2.452120972E1,3.762143707E1
6.812081875E0,-1.223991299E1,-2.452323532E1,3.762150955E1
6.833840875E0,-1.226225758E1,-2.445528603E1,3.765845871E1
6.855623875E0,-1.223770714E1,-2.449242592E1,3.764229584E1
6.877388875E0,-1.223015976E1,-2.449812126E1,3.764104462E1
6.899127875E0,-1.221216297E1,-2.452155876E1,3.763162994E1
6.920906875E0,-1.218654060E1,-2.455092430E1,3.762078857E1
6.942670875E0,-1.218869209E1,-2.453147125E1,3.763277435E1
6.964424875E0,-1.220645237E1,-2.447851181E1,3.766149139E1
6.986183875E0,-1.218017769E1,-2.451287460E1,3.764765167E1
7.007942875E0,-1.220102787E1,-2.444638252E1,3.768411636E1
7.029710875E0,-1.220318985E1,-2.442477798E1,3.769742203E1
7.051461875E0,-1.222332668E1,-2.435756302E1,3.773436737E1
7.073250875E0,-1.224418068E1,-2.428795052E1,3.777245712E1
7.095009875E0,-1.222403049E1,-2.431712532E1,3.776021194E1
7.116768875E0,-1.218691635E1,-2.437749863E1,3.773327255E1
7.138526875E0,-1.217797947E1,-2.437595749E1,3.773715591E1
7.160286875E0,-1.219860458E1,-2.430797577E1,3.777432632E1
7.182045875E0,-1.221928883E1,-2.423967552E1,3.781150818E1
7.203804875E0,-1.216367245E1,-2.435648346E1,3.775433731E1
7.225563875E0,-1.211470413E1,-2.443595123E1,3.771871185E1
7.247353875E0,-1.208840466E1,-2.449400139E1,3.768949127E1
7.269089875E0,-1.208639622E1,-2.453734970E1,3.766193008E1
7.290871875E0,-1.220004463E1,-2.452297974E1,3.763463593E1
7.312630875E0,-1.208777618E1,-2.453559303E1,3.766262054E1
7.334387875E0,-1.205570698E1,-2.437992477E1,3.777383804E1
7.356149875E0,-1.180566120E1,-2.446984482E1,3.779465866E1
7.377907875E0,-1.112971973E1,-2.493382263E1,3.769638062E1
7.399666875E0,-9.817428589E0,-2.527470970E1,3.783372116E1
7.421425875E0,-7.346265793E0,-2.566102982E1,3.813301849E1
7.443193875E0,-2.756388187E0,-2.678198242E1,3.796987152E1
7.464974875E0,5.473928452E-1,-2.765257072E1,3.743820572E1
7.486733875E0,4.906220436E0,-2.872900581E1,3.629265594E1
7.508493875E0,8.799877167E0,-2.938477325E1,3.500972366E1
7.530250875E0,1.424240875E1,-2.979514503E1,3.280222702E1
7.552011875E0,1.670663261E1,-2.993652916E1,3.148453140E1
7.573769875E0,2.172001266E1,-3.016471100E1,2.801632309E1
7.595528875E0,2.718958282E1,-3.032782555E1,2.252848816E1
7.617317875E0,3.060793495E1,-3.051003838E1,1.728799438E1
7.639047875E0,3.380065918E1,-3.036321068E1,1.010811806E1
7.660836875E0,3.478067017E1,-3.007712936E1,7.228713036E0
7.682595875E0,3.635752106E1,-2.899729156E1,-1.967476845E0
7.704354875E0,3.565797424E1,-2.874355888E1,-8.300600052E0
7.726113875E0,3.402471161E1,-2.873979568E1,-1.352501774E1
7.747866875E0,3.235846329E1,-2.840256691E1,-1.768635750E1
7.769644875E0,3.093438339E1,-2.800702095E1,-2.062168884E1
7.791390875E0,2.987566376E1,-2.829801369E1,-2.175431442E1
7.813179875E0,2.796984863E1,-2.922608566E1,-2.302404976E1
7.834925875E0,2.632379341E1,-2.986074638E1,-2.412419510E1
7.856697875E0,2.477576447E1,-3.043766785E1,-2.502584457E1
7.878457875E0,2.201345444E1,-3.109807205E1,-2.673762894E1
7.900222875E0,2.013981628E1,-3.062711525E1,-2.868711853E1
7.921975875E0,1.893698692E1,-3.029499435E1,-2.983600235E1
