"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.874191417E0,3.003779221E1,-1.389907074E1,4.586740112E1
3.895955417E0,2.967392159E1,-1.455342197E1,4.590128708E1
3.917706417E0,2.907947159E1,-1.548798656E1,4.597583771E1
3.939473417E0,2.880410385E1,-1.612855911E1,4.592890167E1
3.961232417E0,3.129425812E1,-1.597505379E1,4.432537460E1
3.982997417E0,3.677312469E1,-1.431414890E1,4.052299881E1
4.004782417E0,4.138164139E1,-1.289852142E1,3.633811188E1
4.026540417E0,4.530911255E1,-1.204874802E1,3.164148331E1
4.048299417E0,4.794559479E1,-1.188669777E1,2.755356216E1
4.070058417E0,5.120153809E1,-1.214334774E1,2.074158287E1
4.091813417E0,5.363735962E1,-1.315632534E1,1.221541595E1
4.113574417E0,5.444194031E1,-1.531366158E1,9.154491425E-1
4.135335417E0,5.331254578E1,-1.749092865E1,-7.149152756E0
4.157094417E0,5.235969162E1,-1.851244736E1,-1.072490883E1
4.178853417E0,4.833692932E1,-2.039242172E1,-2.114146233E1
4.200637417E0,4.423237228E1,-2.066799545E1,-2.855875778E1
4.222394417E0,3.865373230E1,-2.032250404E1,-3.594657135E1
4.244161417E0,3.191455460E1,-1.955588150E1,-4.240636444E1
4.265920417E0,2.713495636E1,-1.905871964E1,-4.582281494E1
4.287679417E0,2.021388626E1,-1.883433533E1,-4.935522079E1
4.309439417E0,1.632673454E1,-1.882373810E1,-5.077770996E1
4.331198417E0,1.035622215E1,-1.865983391E1,-5.238158798E1
4.352952417E0,4.047748566E0,-1.845817947E1,-5.331212616E1
4.374746417E0,-1.495923996E0,-1.902679634E1,-5.324485397E1
4.396506417E0,-5.922424316E0,-2.098499298E1,-5.219028854E1
4.418246417E0,-1.156594849E1,-2.518670654E1,-4.930648804E1
4.440023417E0,-1.483582401E1,-2.842938614E1,-4.659334564E1
4.461782417E0,-1.846056938E1,-3.317641449E1,-4.192617798E1
4.483555417E0,-2.068609619E1,-3.738632584E1,-3.706236267E1
4.505292417E0,-2.049763489E1,-3.768687057E1,-3.686215210E1
4.527059417E0,-2.202728653E1,-3.756784821E1,-3.609330368E1
4.548818417E0,-2.346792603E1,-3.766306305E1,-3.507165909E1
4.570607417E0,-2.478510666E1,-3.779386139E1,-3.400872803E1
4.592340417E0,-2.543898773E1,-3.823103714E1,-3.302297211E1
4.614128417E0,-2.561231804E1,-3.881862259E1,-3.219308472E1
4.635886417E0,-2.604443550E1,-3.907888794E1,-3.152458000E1
4.657644417E0,-2.602331543E1,-3.929589462E1,-3.127124786E1
4.679404417E0,-2.596644783E1,-3.948411560E1,-3.108085632E1
4.701162417E0,-2.592062759E1,-3.977817535E1,-3.074230385E1
4.722921417E0,-2.624538612E1,-4.012208557E1,-3.001115227E1
4.744710417E0,-2.657825089E1,-4.043562317E1,-2.928870392E1
4.766469417E0,-2.670466614E1,-4.074276733E1,-2.874298859E1
4.788228417E0,-2.677422333E1,-4.113016129E1,-2.811977386E1
4.809969417E0,-2.683155823E1,-4.125280762E1,-2.788448715E1
4.831746417E0,-2.702089500E1,-4.108453369E1,-2.795001984E1
4.853505417E0,-2.727979279E1,-4.093510437E1,-2.791775894E1
4.875265417E0,-2.765173149E1,-4.095922089E1,-2.751354027E1
4.897023417E0,-2.782508087E1,-4.097856903E1,-2.730921936E1
4.918784417E0,-2.811191177E1,-4.107981491E1,-2.685964584E1
4.940573417E0,-2.812583542E1,-4.113745880E1,-2.675663757E1
4.962331417E0,-2.837950706E1,-4.120726776E1,-2.637870026E1
4.984090417E0,-2.831592369E1,-4.128488541E1,-2.632561493E1
5.005836417E0,-2.821821022E1,-4.138742447E1,-2.626947403E1
5.027608417E0,-2.847417831E1,-4.136776352E1,-2.602308273E1
5.049367417E0,-2.835505867E1,-4.151218414E1,-2.592296982E1
5.071126417E0,-2.855722427E1,-4.147595215E1,-2.575852013E1
5.092885417E0,-2.847344589E1,-4.154733658E1,-2.573622513E1
5.114657417E0,-2.832628059E1,-4.162302017E1,-2.577628136E1
5.136434417E0,-2.845631790E1,-4.157678223E1,-2.570759010E1
5.158193417E0,-2.833753967E1,-4.174160004E1,-2.557136154E1
5.179952417E0,-2.824481583E1,-4.188564301E1,-2.543805504E1
5.201698417E0,-2.817657661E1,-4.200202179E1,-2.532156372E1
5.223479417E0,-2.819103241E1,-4.209201813E1,-2.515548325E1
5.245230417E0,-2.829556847E1,-4.213327789E1,-2.496835518E1
5.266988417E0,-2.826438904E1,-4.224803162E1,-2.480925369E1
5.288747417E0,-2.834292603E1,-4.232804871E1,-2.458222961E1
5.310533417E0,-2.819713020E1,-4.249059296E1,-2.446921730E1
5.332296417E0,-2.814389610E1,-4.260347748E1,-2.433384895E1
5.354055417E0,-2.803057671E1,-4.270260620E1,-2.429085732E1
5.375814417E0,-2.808684731E1,-4.273137665E1,-2.417498970E1
5.397573417E0,-2.800001526E1,-4.286821365E1,-2.403303146E1
5.419348417E0,-2.808467293E1,-4.290876389E1,-2.386127853E1
5.441085417E0,-2.806803131E1,-4.296583176E1,-2.377801514E1
