"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.090088000E0,8.313751221E-2,3.426380828E-2,-1.355595235E-2
3.111836000E0,8.440394700E-2,3.426307440E-2,-1.713665016E-2
3.133606000E0,8.417933434E-2,3.296579793E-2,-8.675172925E-3
3.155366000E0,8.055210114E-2,3.544653952E-2,-1.365450863E-2
3.177125000E0,8.306808025E-2,3.668923303E-2,-1.843338646E-2
3.198883000E0,8.401068300E-2,3.661473468E-2,-7.555810735E-3
3.220642000E0,8.650059253E-2,3.784976900E-2,-1.113015600E-2
3.242414000E0,8.403229713E-2,3.783901036E-2,-1.240456477E-2
3.264179000E0,7.905060053E-2,3.410650417E-2,-1.125324331E-2
3.285950000E0,8.646707982E-2,3.163209558E-2,-1.460543368E-2
3.307709000E0,8.520709723E-2,3.532706201E-2,-1.592959836E-2
3.329469000E0,8.509214222E-2,3.405636549E-2,-1.228734106E-2
3.351227000E0,8.626367152E-2,3.774347529E-2,-1.233800966E-2
3.372980000E0,8.012412488E-2,3.403186053E-2,-1.363048237E-2
3.394746000E0,8.251038939E-2,3.400294483E-2,-1.235781889E-2
3.416504000E0,8.249085397E-2,3.522615135E-2,-1.359139755E-2
3.438263000E0,8.123181015E-2,3.273978829E-2,-1.356969867E-2
3.460010000E0,8.476556093E-2,3.269620985E-2,-8.647225797E-3
3.481781000E0,8.220276982E-2,3.514014557E-2,-6.362728775E-3
3.503554000E0,8.836399764E-2,3.512860462E-2,-9.806129150E-3
3.525299000E0,8.466690034E-2,3.511952609E-2,-1.111477520E-2
3.547089000E0,8.710788190E-2,3.510550782E-2,-1.225142647E-2
3.568844000E0,8.102195710E-2,3.140750155E-2,-1.595334150E-2
3.590602000E0,8.467558771E-2,3.509774804E-2,-1.714025438E-2
3.612366000E0,8.336872607E-2,3.136535734E-2,-1.468044147E-2
3.634126000E0,8.699561656E-2,3.504958004E-2,-1.466248650E-2
3.655895000E0,8.703859895E-2,3.381562978E-2,-1.824915409E-2
3.677643000E0,8.314591646E-2,3.499605507E-2,-1.115231309E-2
3.699402000E0,8.442009985E-2,3.376053646E-2,-1.470494550E-2
3.721161000E0,8.560122550E-2,3.497786075E-2,-1.469899062E-2
3.742920000E0,8.174508065E-2,3.369713575E-2,-8.749935776E-3
3.764676000E0,9.034752101E-2,3.492113575E-2,-1.094741467E-2
3.786438000E0,8.299892396E-2,3.368798271E-2,-1.353547163E-2
