"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.223694542E0,-1.423557281E1,-2.327101326E1,4.355395508E1
5.245460542E0,-1.422155571E1,-2.329535675E1,4.354552078E1
5.267242542E0,-1.421100426E1,-2.329819870E1,4.354744339E1
5.288983542E0,-1.419764805E1,-2.330012321E1,4.355077362E1
5.310760542E0,-1.418287849E1,-2.330409622E1,4.355345917E1
5.332520542E0,-1.416874313E1,-2.330821419E1,4.355585098E1
5.354271542E0,-1.416257000E1,-2.331940842E1,4.355187225E1
5.376037542E0,-1.415511799E1,-2.334564590E1,4.354023743E1
5.397826542E0,-1.415705681E1,-2.336201286E1,4.353082275E1
5.419568542E0,-1.414242744E1,-2.340402412E1,4.351300812E1
5.441344542E0,-1.413482666E1,-2.340488625E1,4.351501846E1
5.463104542E0,-1.411911392E1,-2.341187668E1,4.351635361E1
5.484863542E0,-1.410253525E1,-2.341742325E1,4.351874161E1
5.506622542E0,-1.411242294E1,-2.338972282E1,4.353044128E1
5.528381542E0,-1.410830212E1,-2.339531708E1,4.352876663E1
5.550149542E0,-1.410414314E1,-2.339841461E1,4.352844620E1
5.571929542E0,-1.410366821E1,-2.340344048E1,4.352590179E1
5.593688542E0,-1.410937309E1,-2.337367630E1,4.354004288E1
5.615447542E0,-1.408907509E1,-2.340209389E1,4.353134537E1
5.637206542E0,-1.407923889E1,-2.339163971E1,4.354015350E1
5.658967542E0,-1.406667519E1,-2.340245819E1,4.353839111E1
5.680724542E0,-1.405737782E1,-2.340893555E1,4.353792191E1
5.702514542E0,-1.406640530E1,-2.337484169E1,4.355331421E1
5.724273542E0,-1.405321407E1,-2.338441467E1,4.355244064E1
5.746034542E0,-1.403442097E1,-2.341959763E1,4.353958893E1
5.767791542E0,-1.401998138E1,-2.343143845E1,4.353787231E1
5.789565542E0,-1.400171375E1,-2.343991852E1,4.353918839E1
5.811309542E0,-1.398789883E1,-2.344332886E1,4.354179001E1
5.833099542E0,-1.397787666E1,-2.345090294E1,4.354092407E1
5.854842542E0,-1.398682022E1,-2.341936111E1,4.355502701E1
5.876617542E0,-1.397623825E1,-2.343230820E1,4.355146790E1
5.898376542E0,-1.396614456E1,-2.344087029E1,4.355009460E1
5.920135542E0,-1.393582916E1,-2.347198296E1,4.354304886E1
5.941911542E0,-1.392531109E1,-2.348153687E1,4.354126740E1
5.963678542E0,-1.391706562E1,-2.348691559E1,4.354099655E1
5.985442542E0,-1.391850471E1,-2.347189713E1,4.354863739E1
