"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.923228000E0,1.416382939E-1,-2.192442417E-1,-1.343218088E-1
3.944989000E0,1.944197416E-1,-2.267122567E-1,-1.302655488E-1
3.966745000E0,1.572077423E-1,-1.764189899E-1,-7.096215338E-2
3.988504000E0,5.940060318E-2,-9.399340302E-2,-8.347414550E-4
4.010255000E0,1.430885792E-1,-1.681922674E-1,9.219224565E-3
4.032022000E0,1.796073914E-1,-2.689045072E-1,-3.210723773E-2
4.053781000E0,1.207699105E-1,-2.784247994E-1,-9.139586240E-2
4.075561000E0,9.310845286E-2,-2.510661483E-1,-1.241322309E-1
4.097312000E0,5.964317173E-2,-1.979555339E-1,-1.226592362E-1
4.119089000E0,8.843640797E-3,-8.058282733E-2,-1.291592270E-1
4.140848000E0,-4.217986390E-2,8.247506618E-2,-1.354988813E-1
4.162607000E0,1.302364003E-2,7.717941701E-2,-7.597470284E-2
4.184366000E0,1.623239815E-1,-5.504851416E-2,-7.602519542E-2
4.206120000E0,2.237880230E-1,-1.453077793E-1,-5.899786577E-2
4.227898000E0,1.364057064E-1,-6.245497242E-2,-7.055731863E-2
4.249669000E0,1.085966825E-1,-9.464995936E-3,-4.722595587E-2
4.271432000E0,1.308215111E-1,-7.497274876E-2,-3.788255155E-2
4.293191000E0,1.199641973E-1,-3.216588404E-3,-6.272065639E-2
4.314955000E0,1.129866689E-1,2.873004042E-2,-3.230125830E-2
4.336712000E0,1.729137003E-1,-1.589804143E-2,-1.031774562E-2
4.358470000E0,1.451017857E-1,1.513337623E-2,-3.711473942E-2
