"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.374471083E0,4.592942540E-3,2.180433124E-1,-6.928627193E-2
4.396254083E0,2.112233639E-1,3.601022959E-1,-1.089295670E-1
4.418014083E0,2.628274262E-1,4.758867323E-1,-7.876428217E-2
4.439773083E0,1.342078894E-1,3.771802783E-1,-7.529392838E-2
4.461531083E0,3.832207993E-2,1.503073871E-1,-1.342770755E-1
4.483284083E0,6.789936218E-3,-7.508452982E-3,-1.737597883E-1
4.505049083E0,3.736628965E-2,2.275793115E-3,-1.695016772E-1
4.526808083E0,1.419070363E-1,2.306228280E-1,-1.681551933E-1
4.548567083E0,1.894531399E-1,2.354079187E-1,-1.524650007E-1
4.570349083E0,1.369632334E-1,4.668635130E-2,-1.821874678E-1
4.592115083E0,1.435483843E-1,-6.944334507E-2,-1.769480407E-1
4.613874083E0,1.777337343E-1,-5.468636006E-2,-1.703007966E-1
4.635633083E0,1.819222569E-1,-1.439468376E-2,-9.153451025E-2
4.657392083E0,1.785104424E-1,1.111769676E-1,-2.095462754E-2
4.679137083E0,1.614912748E-1,1.999261528E-1,6.692365278E-3
4.700911083E0,1.085020006E-1,1.581905931E-1,-3.241349757E-2
4.722670083E0,3.552824259E-2,-4.033489525E-2,-7.814923674E-2
4.744429083E0,5.108587816E-2,-1.316766143E-1,-9.491294622E-2
4.766190083E0,1.232457459E-1,-2.459207922E-2,-4.831454903E-2
4.787961083E0,1.682670712E-1,1.109063029E-1,-3.116693813E-3
4.809706083E0,1.473162621E-1,1.405546069E-1,-6.781949662E-3
4.831466083E0,1.414155960E-1,1.455146521E-1,-1.910539903E-2
4.853254083E0,1.287387908E-1,9.375912696E-2,-4.600095749E-2
4.874997083E0,2.081888616E-1,9.972715378E-2,-2.944482118E-2
4.896755083E0,2.915628850E-1,2.365164757E-1,3.529777285E-3
4.918531083E0,9.648069739E-2,2.329839170E-1,-9.070447646E-3
4.940290083E0,3.158379346E-2,-1.470903456E-1,-4.683155566E-2
4.962049083E0,3.566396981E-2,-1.952103227E-1,-5.406124890E-2
4.983808083E0,6.617157161E-2,-6.084483489E-2,-1.889382862E-2
5.005570083E0,7.896961272E-2,6.630048901E-2,-1.419469062E-2
5.027327083E0,1.275592893E-1,1.211451739E-1,-2.258566767E-2
5.049086083E0,1.610924304E-1,2.309325486E-1,-7.268773858E-3
